Book-Author,ISBN,Book-Title,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
 D. Chiel,1,1,1,1,1,1,1
 J. D. Landis,1,1,1,1,1,1,1
 Mimma Balia,1,1,1,1,1,1,1
'N Sync,1,1,1,1,1,1,1
142 moms from all over the world,1,1,1,1,1,1,1
1977 Inaugural Committee (U.S.),1,1,1,1,1,1,1
1st Graders of Samuel s Nixon School Carnegie Penn,1,1,1,1,1,1,1
2000,2,2,2,2,2,2,0
2003,1,1,1,1,1,1,0
21st Century Publishing,1,1,1,1,1,1,1
73 Magazine Editors,1,1,1,1,1,1,1
";Katie Stewart""",1,1,1,1,1,1,1
A &amp; C Black Ltd.,1,1,1,1,1,1,1
A &amp; E Television Network,2,2,2,2,2,2,2
A A Milne,5,5,5,5,5,5,5
A Adams,1,1,1,1,1,1,1
A Alvarez,1,1,1,1,1,1,1
A B Guthrie,2,2,2,2,2,2,2
A B Simpson,1,1,1,1,1,1,1
A Blue Mountain Arts Collection,1,1,1,1,1,1,1
A Bodenburg Sommer,1,1,1,1,1,1,1
A Dumas,1,1,1,1,1,1,1
A E Hartink,2,2,2,2,2,2,2
A E Van Vogt,2,2,2,2,2,2,2
A Finlayson,1,1,1,1,1,1,1
A First Book,1,1,1,1,1,1,1
A Frank,1,1,1,1,1,1,1
A Franquin,1,1,1,1,1,1,1
A G Eyre,1,1,1,1,1,1,1
A Ganeri,1,1,1,1,1,1,1
A H Kramer-Lampher,1,1,1,1,1,1,1
A Hunter,1,1,1,1,1,1,1
A Kollontai,1,1,1,1,1,1,1
A Lobo Antunes,1,1,1,1,1,1,1
A Martin,3,3,3,3,3,3,3
A McKeane,1,1,1,1,1,1,1
A Monk of the Eastern Church,1,1,1,1,1,1,1
A MunnÃ©-JordÃ ,1,1,1,1,1,1,1
A N Jeffares,1,1,1,1,1,1,1
A Norman Jeffares,1,1,1,1,1,1,1
A Paton,1,1,1,1,1,1,1
A Perry,1,1,1,1,1,1,1
A R Lacey,1,1,1,1,1,1,1
A Rich,2,2,2,2,2,2,2
A Ripellino,1,1,1,1,1,1,1
A S Byatt,2,2,2,2,2,2,2
A STERLING,1,1,1,1,1,1,1
A Schwarz-Bart,1,1,1,1,1,1,1
A Soljenitsyne,1,1,1,1,1,1,1
A T &amp; T,1,1,1,1,1,1,1
A'Lelia Bundles,2,2,2,2,2,2,2
A. A Milne,1,1,1,1,1,1,1
A. A.  Winnie the Pooh Milne,1,1,1,1,1,1,1
A. A.  Winnie-The-Pooh Milne,2,2,2,2,2,2,2
